title,price,closing_date,result,no_views,no_watchers,no_comments,no_bids,seller_state,year,series,miles,engine,trans,exterior,url
1987 Toyota Land Cruiser FJ60,19000,2022-03-22,sold,9829,684,24,22,georgia,1987,fj60,342000,2F,manual,red,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-109/
1987 Toyota Land Cruiser FJ60 4-Speed,50750,2022-03-19,reserve not met,7258,544,46,35,washington,1987,fj60,77000,2F,manual,beige,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-107/
1989 Toyota Land Cruiser FJ62,22500,2022-03-19,sold,9009,625,39,23,florida,1989,fj62,205000,3F-E,automatic,beige,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-132/
No Reserve: 1988 Toyota Land Cruiser FJ62,13250,2022-03-16,sold,9178,635,17,44,maryland,1988,fj62,228000,3F-E,automatic,beige,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-93/
No Reserve: 1984 Toyota Land Cruiser FJ60,33000,2022-03-14,sold,9178,580,36,15,new mexico,1984,fj60,103000,2F,manual,brown,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-73/
1986 Toyota Land Cruiser FJ60,24250,2022-03-11,reserve not met,9616,703,25,33,arkansas,1986,fj60,178000,2F,manual,blue,https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-46/
1988 Toyota Land Cruiser FJ62,19000,2022-03-09,reserve not met,9598,607,31,10,california,1988,fj62,210000,3F-E,automatic,blue,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-91/
1984 Toyota Land Cruiser FJ60,22750,2022-03-07,sold,5702,485,26,28,alabama,1984,fj60,118000,2F,manual,brown,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-68/
1985 Toyota Land Cruiser BJ60 Diesel 5-Speed,48500,2022-03-06,sold,10101,754,35,47,north carolina,1985,bj60,58000,3B,manual,gray,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-106/
1990 Toyota Land Cruiser FJ62,35000,2022-02-24,sold,11179,680,68,33,oregon,1990,fj62,176000,3F-E,automatic,beige,https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-54/
