title,price,sell_date,no_views,no_watchers,no_comments,no_bids,seller_state,year,series,miles,engine,trans,exterior,interior,misc,url
1987 Toyota Land Cruiser FJ60,"19,000",3/22/2022,"9,610",685,24,22,"augusta, georgia 30909",1987,fj60,342k,4.2-liter inline-six,manual,red paint,gray upholstery,"['chassis: jt4fj60v6h11137875', '342k miles shown', '4.2-liter inline-six', 'carburetor rebuilt in 2021', 'four-speed manual transmission', 'two-speed transfer case', 'red paint', 'gray upholstery', 'rear heater', 'roof rack', 'receiver hitch', 'manually locking front hubs', '15"" wheels w/ 31"" ironman tires', 'aftermarket bluetooth stereo', 'spare & removed parts', 'tool kit', 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-109/
1987 Toyota Land Cruiser FJ60 4-Speed,"50,750",3/19/2022,"7,159",544,46,35,"elma, washington 98541",1987,fj60,77k,4.2-liter inline-six,manual,beige paint,beige cloth & brown vinyl upholstery,"['chassis: jt4fj60v1h1138030', '77k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'two-speed transfer case', 'manually locking front hubs', 'beige paint', 'beige cloth & brown vinyl upholstery', 'chrome 15"" wheels', 'am/fm radio', 'air conditioning', 'window sticker']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-107/
1989 Toyota Land Cruiser FJ62,"22,500",3/19/2022,"8,939",625,39,23,"orlando, florida 32827",1989,fj62,205k,4.0-liter inline-six,automatic,beige metallic paint,brown vinyl upholstery,"['chassis: jt3fj62g9k1112723', '205k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'beige metallic paint', 'brown vinyl upholstery', '15"" polished steel wheels', 'chrome bumpers and mirrors', 'dobinsons suspension lift', 'manually locking front hubs', 'air conditioning', 'power windows and locks']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-132/
No Reserve: 1988 Toyota Land Cruiser FJ62,"13,250",3/16/2022,"9,130",635,17,44,"hyattsville, maryland 20781",1988,fj62,228k,4.0l 3f-e inline-six,automatic,beige metallic paint,beige cloth upholstery,"['chassis: jt3fj62g4j0089372', '228k miles shown', '4.0l 3f-e inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'beige metallic paint', 'beige cloth upholstery', 'r134a-converted air conditioning', 'locking front hubs', 'rear heater', 'roof rack', 'split tailgate', 'power windows, locks, & mirrors', 'jensen stereo', 'recent service records']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-93/
No Reserve: 1984 Toyota Land Cruiser FJ60,"33,000",3/14/2022,"9,150",580,36,15,"corrales, new mexico 87048",1984,fj60,103k,4.2-liter inline-six,manual,refinished in copper metallic,brown cloth & vinyl upholstery,"['chassis: jt3fj60g4e1127105', '103k miles', '4.2-liter inline-six', '4-speed manual transmission ', 'dual-range transfer case', 'refinished in copper metallic', 'brown cloth & vinyl upholstery', '16"" alloy wheels', 'old man emu lift kit', 'gamiviti roof rack', 'led headlights', 'air conditioning', 'kenwood stereo', ""owner's manual"", 'carfax report']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-73/
1986 Toyota Land Cruiser FJ60,"24,250",3/11/2022,"9,584",703,25,33,"fort smith, arkansas 72901",1986,fj60,178k,4.2-liter inline-six,manual,refinished in blue,patterned gray cloth upholstery,"['chassis: jt3fj60g4g1134851', '178k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'two-speed transfer case', 'refinished in blue', 'patterned gray cloth upholstery', 'overhauled air-conditioning system', '15"" chrome wheels w/31"" tires', 'manually locking front hubs', 'panasonic cassette stereo', 'aftermarket roof rack w/driving lights', 'carpets recently replaced', 'clean carfax report']",https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-46/
1988 Toyota Land Cruiser FJ62,"19,000",3/9/2022,"9,567",607,31,10,"los angeles, california 90041",1988,fj62,210k,rebuilt 4.0-liter 3f-e inline-six,automatic,repainted blue,brown vinyl and tan patterned cloth,"['chassis: jt3fj62g1j0078135', '210k miles shown', 'rebuilt 4.0-liter 3f-e inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'repainted blue', 'brown vinyl and tan patterned cloth', 'polished 15"" steel wheels', 'manually lockable front hubs', 'kenwood cd stereo', 'air conditioning', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-91/
1984 Toyota Land Cruiser FJ60,"22,750",3/7/2022,"5,692",485,26,28,"dothan, alabama 36305",1984,fj60,118k,4.2-liter inline-six,manual,metallic copper paint,tan cloth upholstery,"['chassis: jt3fj60g6e1111620', '118k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'metallic copper paint', 'tan cloth upholstery', 'howell fuel injection', 'chrome-finished 15"" wheels', 'manually locking front hubs', 'am/fm radio', 'clean carfax report']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-68/
1985 Toyota Land Cruiser BJ60 Diesel 5-Speed,"48,500",3/6/2022,"10,073",754,35,47,"wilson, north carolina 27893",1985,bj60,58k,3.4-liter diesel inline-four,manual,repainted in metallic gray ,gray cloth & vinyl upholstery ,"['chassis: jt3bj60g9f0016605', 'imported from costa rica ', 'left-hand drive', '94k kilometers (~58k miles) shown \xa0', '3.4-liter diesel inline-four', '5-speed manual transmision ', '2-speed transfer case ', 'repainted in metallic gray ', 'gray cloth & vinyl upholstery ', 'aftermarket front bumper & side steps', 'roof basket ', 'dual battery system ', 'kenwood audio components ']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-106/
1990 Toyota Land Cruiser FJ62,"35,000",2/24/2022,"11,159",680,68,33,"newberg, oregon 97132",1990,fj62,176k,4.0-liter inline-six,automatic,beige metallic paint,tan & brown upholstery,"['chassis: jt3fj62g8l1121091', '176k miles shown, tmu', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'beige metallic paint', 'tan & brown upholstery', 'arb front bumper', 'roof rack', '4plus dual swing-out rear bumper', 'old man emu suspension', 'fj40-style 16"" wheels w/33"" tires', 'air conditioning', 'aftermarket stereo', 'accident-free carfax report']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-54/
